Year,Production
2000,5.79
2001,4.19
2002,5.08
2003,3.88
2004,6.29
2005,7.59
2006,8.13
2007,7.44
2008,5.83
2009,7.2
2010,6.61
2011,8.18
2012,6.6
2013,8.03
2014,7.88
2015,6.28
2016,6.8
2017,7.92
2018,8.32
