Year,Production
2000,7.53
2001,7.56
2002,7.1
2003,6.68
2004,7.24
2005,7.63
2006,7.15
2007,7.93
2008,7.25
2009,6.7
2010,7
2011,5.98
2012,5.28
2013,5.54
2014,5.45
2015,4.24
2016,4.57
2017,4.95
2018,5
