Year,Production
2000,299.32
2001,295.96
2002,297.21
2003,287.38
2004,233.86
2005,237.09
2006,281.17
2007,355.52
2008,348.19
2009,285.03
2010,292.3
2011,342.38
2012,361.04
2013,341.2
2014,351.14
2015,361.33
2016,348.45
2017,306.06
2018,376.9
