Year,Production
2000,5.12
2001,3.86
2002,5.47
2003,4.24
2004,5.72
2005,5.47
2006,5.6
2007,6.33
2008,5.75
2009,7.06
2010,7.48
2011,8.22
2012,7.7
2013,8.83
2014,9.53
2015,7.33
2016,7.06
2017,9.38
2018,10.32
