Year,Production
2000,69.68
2001,72.77
2002,65.76
2003,72.16
2004,69.35
2005,75.81
2006,78.57
2007,80.86
2008,80.8
2009,86.87
2010,94.88
2011,93.51
2012,95.58
2013,86.53
2014,92.85
2015,86.53
2016,92.29
2017,98.51
2018,99.7
