Year,Production
2000,5.78
2001,6.76
2002,8.28
2003,4.72
2004,12.11
2005,7.93
2006,7.68
2007,8.42
2008,9.97
2009,8.89
2010,6.51
2011,10.37
2012,10.28
2013,8.74
2014,9.25
2015,9.18
2016,8.07
2017,9.73
2018,9.82
