Year,Production
2000,11.51
2001,12.04
2002,13.16
2003,11.15
2004,14.98
2005,14.17
2006,14.71
2007,15.1
2008,18.96
2009,19.73
2010,16.72
2011,21.73
2012,21.76
2013,22.26
2014,24.26
2015,24.15
2016,22.57
2017,25.9
2018,28.72
