Year,Production
Jan-00,2.69
Jan-01,2.25
Jan-02,2.26
Jan-03,2.19
Jan-04,2.36
Jan-05,2.35
Jan-06,2.74
Jan-07,2.31
Jan-08,3
Jan-09,2.27
Jan-10,2.46
Jan-11,2.86
Jan-12,2.65
Jan-13,3.02
Jan-14,3.17
Jan-15,2.81
Jan-16,2.56
Jan-17,4.87
Jan-18,5
